Time,Bicep,Wrist
00:00.5,0.070999861,0.040208556
00:00.5,0.127127752,-0.011798939
00:00.6,0.156449273,-0.091212586
00:00.6,0.04845909,-0.049648955
00:00.6,0.004085765,-0.017896254
00:00.6,0.02019071,-0.026139842
00:00.6,0.05795465,-0.066764504
00:00.6,0.019672971,-0.073530704
00:00.6,-0.021883152,-0.053558849
00:00.6,-0.043794498,-0.022718785
00:00.6,-0.055846468,-0.014393486
00:00.6,-0.055738356,-0.006814707
00:00.6,-0.052034944,0.004341993
00:00.6,-0.041338559,0.007838387
00:00.6,-0.03123452,0.015326048
00:00.6,-0.021928353,0.020039449
00:00.6,-0.00910077,0.022485461
00:00.6,-0.008467101,0.032063529
00:00.6,-0.010653017,0.049252313
00:00.6,0.003767316,0.051042814
00:00.6,0.01816245,0.05150919
00:00.6,0.035591237,0.063775621
00:00.6,0.039508693,0.02304827
00:00.6,0.038809888,-0.01559922
00:00.6,0.034835372,-0.031630337
00:00.6,0.028711086,-0.050049979
00:00.6,0.021365397,-0.049858194
00:00.6,0.009075424,-0.051139109
00:00.6,0.003569316,-0.057014301
00:00.6,-0.001942068,-0.046493743
00:00.6,-0.007059769,-0.039606079
00:00.6,-0.002560642,-0.039362941
00:00.6,0.038631003,-0.069330901
00:00.6,-0.004914388,-0.055808719
00:00.6,-0.051690415,-0.006966311
00:00.6,-0.073352039,0.028209161
00:00.6,-0.072361201,0.056314826
00:00.6,-0.065589502,0.068178341
00:00.6,-0.054930989,0.072837591
00:00.6,-0.037498374,0.067376986
00:00.6,-0.021259148,0.064332314
00:00.6,-0.011158208,0.057703916
00:00.6,0.003626336,0.044174798
00:00.6,0.01567911,0.035875767
00:00.6,0.025016874,0.021934211
00:00.6,0.031746879,0.000841497
00:00.6,0.036048748,0.003878911
00:00.6,0.038157083,-0.001225606
00:00.6,0.042816196,-0.011029378
00:00.6,0.043651335,-0.01840502
00:00.6,0.041527409,-0.019104231
00:00.6,0.037221417,-0.024512192
00:00.6,0.035890818,-0.023183346
00:00.6,0.026987901,-0.026606968
00:00.6,0.022717578,-0.027891492
00:00.6,0.016738214,-0.018504348
00:00.6,0.005389864,-0.01217112
00:00.6,0.000468506,-0.026011052
00:00.6,-0.009217251,-0.032710347
00:00.6,-0.021001138,-0.020580782
00:00.6,-0.023954848,-0.006650938
00:00.6,-0.025543071,-0.006120167
00:00.6,-0.025927881,-0.009192936
00:00.6,-0.025284465,-0.009519687
00:00.6,-0.023794245,-0.003454373
00:00.6,-0.021638626,0.001644243
00:00.6,-0.018993543,0.005773488
00:00.6,-0.016024847,0.008959346
00:00.6,-0.012884573,0.006780862
00:00.6,-0.009708146,0.010450223
00:00.6,-0.00661242,0.008351215
00:00.6,-0.003694586,0.020749485
00:00.6,0.003439207,0.022780808
00:00.6,-0.000882274,0.022493226
00:00.6,-0.002796611,0.02051683
00:00.6,0.00150184,0.021862365
00:00.6,0.004785367,0.015841478
00:00.6,0.007155696,0.005587094
00:00.6,0.013189705,-0.002014763
00:00.6,0.011852394,-0.007367596
00:00.6,0.014951563,-0.010841946
00:00.6,0.015834009,-0.00830483
00:00.6,0.010607799,-0.006733864
00:00.6,0.010909504,-0.010316572
00:00.6,0.005453113,-0.012152964
00:00.6,0.001337765,-0.008150061
00:00.6,-0.001641242,-0.005313504
00:00.6,0.000800824,-0.007847734
00:00.6,0.001823631,-0.008859662
00:00.6,0.001833273,-0.008725453
00:00.6,-0.003305165,-0.007769726
00:00.6,-0.002176139,-0.010739245
00:00.6,-0.001792901,-0.015663169
00:00.6,-0.00190304,-0.016614715
00:00.6,-0.011247296,-0.010299956
00:00.6,-0.011854883,-0.004366766
00:00.6,-0.011395622,0.000948945
00:00.6,0.02112655,-0.01686601
00:00.6,0.034281138,-0.04242824
00:00.6,-0.024166869,-0.00716375
00:00.6,-0.049307846,0.035519056
00:00.6,-0.042276811,0.051770877
00:00.7,-0.029031362,0.063256107
